,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
4518,0,ADULT,45,1,25 to 34 years,R3,Richmond,January,2015.0,z,email,True,2011,False,1.0
4521,3,SENIOR,530,299,65 to 74 years,N6,North Beach,July,2016.0,p,phone,True,2003,False,3.0
4522,0,ADULT,33,0,25 to 34 years,X,Main Library,December,2013.0,z,email,True,2013,False,6.0
4523,0,ADULT,22,0,20 to 24 years,B4,Bernal Heights,January,2014.0,z,email,True,2011,False,9.0
4525,0,ADULT,42,1,45 to 54 years,M4,Merced,May,2016.0,z,email,True,2009,False,4.0
4528,0,ADULT,10,10,25 to 34 years,M6,Mission,October,2015.0,z,email,True,2014,False,9.0
4530,0,ADULT,1,1,35 to 44 years,N4,Noe Valley/Sally Brunn,June,2008.0,a,print,False,2008,False,8.0
4531,0,ADULT,31,19,25 to 34 years,O2,Ocean View,June,2016.0,z,email,True,2015,False,7.0
4534,0,ADULT,1,1,25 to 34 years,C2,Chinatown,July,2016.0,z,email,True,2016,False,3.0
4535,0,ADULT,131,6,35 to 44 years,W2,West Portal,July,2016.0,z,email,True,2010,False,7.0
4537,0,ADULT,146,27,65 to 74 years,P7,Potrero,September,2015.0,z,email,True,2009,False,10.0
4538,0,ADULT,11,0,20 to 24 years,E7,Eureka Valley/Harvey Milk Memorial,October,2014.0,z,email,True,2010,False,5.0
4539,0,ADULT,85,34,60 to 64 years,X,Main Library,July,2016.0,z,email,True,2009,False,6.0
4540,0,ADULT,48,2,35 to 44 years,X,Main Library,October,2013.0,p,phone,False,2010,False,10.0
4541,0,ADULT,2,0,35 to 44 years,E9,Excelsior,June,2016.0,z,email,True,2016,False,11.0
4543,0,ADULT,37,50,25 to 34 years,X,Main Library,October,2013.0,z,email,True,2010,False,7.0
4544,3,SENIOR,268,151,65 to 74 years,A5,Anza,October,2015.0,p,phone,False,2003,False,1.0
4546,4,WELCOME,1,0,20 to 24 years,X,Main Library,December,2014.0,z,email,True,2014,False,3.0
4547,0,ADULT,6,0,25 to 34 years,P9,Presidio,April,2016.0,z,email,True,2016,False,2.0
4548,0,ADULT,242,167,20 to 24 years,M4,Merced,July,2015.0,z,email,True,2003,False,11.0
4549,0,ADULT,177,125,35 to 44 years,E7,Eureka Valley/Harvey Milk Memorial,February,2015.0,z,email,True,2003,False,8.0
4550,0,ADULT,28,3,35 to 44 years,M8,Mission Bay,August,2014.0,z,email,True,2010,False,6.0
4551,0,ADULT,52,6,20 to 24 years,C2,Chinatown,August,2011.0,a,print,True,2009,False,3.0
4554,0,ADULT,4,9,25 to 34 years,I5,Ingleside,October,2012.0,z,email,True,2010,False,7.0
4556,0,ADULT,725,422,60 to 64 years,M4,Merced,July,2016.0,z,email,True,2003,False,11.0
4557,0,ADULT,83,22,25 to 34 years,E7,Eureka Valley/Harvey Milk Memorial,June,2016.0,z,email,True,2011,False,8.0
4558,0,ADULT,97,0,45 to 54 years,O7,Ortega,July,2016.0,p,phone,False,2007,False,4.0
4560,0,ADULT,126,232,35 to 44 years,M6,Mission,June,2016.0,z,email,True,2010,False,9.0
4562,0,ADULT,80,62,25 to 34 years,M6,Mission,October,2013.0,z,email,True,2007,False,11.0
4564,0,ADULT,243,44,45 to 54 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016.0,z,email,True,2003,False,8.0
4565,0,ADULT,488,2,45 to 54 years,X,Main Library,January,2014.0,z,email,True,2003,False,8.0
4566,0,ADULT,631,40,45 to 54 years,X,Main Library,December,2014.0,p,phone,False,2003,False,9.0
4567,0,ADULT,155,7,35 to 44 years,W2,West Portal,March,2014.0,z,email,True,2009,False,7.0
4571,0,ADULT,1,0,25 to 34 years,N6,North Beach,November,2013.0,z,email,True,2013,False,3.0
4573,0,ADULT,507,350,45 to 54 years,P9,Presidio,July,2016.0,p,phone,True,2003,False,2.0
4574,0,ADULT,3,2,25 to 34 years,X,Main Library,June,2013.0,z,email,True,2013,False,2.0
4575,0,ADULT,9,1,25 to 34 years,N6,North Beach,March,2016.0,z,email,True,2006,False,1.0
4576,0,ADULT,36,23,25 to 34 years,X,Main Library,April,2015.0,z,email,True,2009,False,11.0
