,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
8501,0,ADULT,59,102,35 to 44 years,X,Main Library,July,2016.0,z,email,True,2015,False,4.0
8502,0,ADULT,4,0,55 to 59 years,E9,Excelsior,August,2013.0,z,email,True,2013,False,11.0
8503,0,ADULT,55,0,35 to 44 years,M8,Mission Bay,March,2015.0,z,email,True,2003,False,6.0
8504,0,ADULT,176,1,25 to 34 years,C2,Chinatown,March,2014.0,a,print,False,2004,False,3.0
8507,3,SENIOR,243,40,65 to 74 years,N4,Noe Valley/Sally Brunn,June,2016.0,z,email,True,2003,False,8.0
8508,0,ADULT,47,0,60 to 64 years,C2,Chinatown,June,2016.0,z,email,True,2012,False,3.0
8509,0,ADULT,21,0,45 to 54 years,R3,Richmond,May,2016.0,z,email,True,2009,False,1.0
8510,0,ADULT,21,8,25 to 34 years,X,Main Library,December,2013.0,z,email,True,2005,False,4.0
8512,0,ADULT,18,2,25 to 34 years,M6,Mission,June,2016.0,z,email,True,2014,False,8.0
8513,0,ADULT,223,3,60 to 64 years,O7,Ortega,July,2016.0,z,email,True,2006,False,4.0
8516,0,ADULT,113,102,25 to 34 years,X,Main Library,March,2015.0,z,email,True,2011,False,4.0
8517,0,ADULT,257,364,25 to 34 years,C2,Chinatown,December,2015.0,z,email,True,2007,False,11.0
8519,0,ADULT,7,1,45 to 54 years,I5,Ingleside,December,2013.0,z,email,True,2005,False,9.0
8520,0,ADULT,324,175,35 to 44 years,M6,Mission,June,2014.0,z,email,True,2008,False,10.0
8521,4,WELCOME,0,0,25 to 34 years,A5,Anza,September,2014.0,z,email,True,2014,False,1.0
8524,0,ADULT,84,62,45 to 54 years,E7,Eureka Valley/Harvey Milk Memorial,March,2016.0,z,email,True,2003,False,8.0
8526,0,ADULT,43,35,35 to 44 years,R3,Richmond,October,2014.0,z,email,True,2006,False,1.0
8527,0,ADULT,1369,801,45 to 54 years,O7,Ortega,July,2016.0,z,email,True,2003,False,4.0
8528,0,ADULT,4,6,25 to 34 years,O7,Ortega,April,2015.0,z,email,True,2015,False,4.0
8529,0,ADULT,5,12,55 to 59 years,P5,Portola,December,2013.0,z,email,True,2012,False,9.0
8535,0,ADULT,52,15,60 to 64 years,S7,Sunset,July,2016.0,z,email,True,2011,False,5.0
8537,0,ADULT,12,0,25 to 34 years,I5,Ingleside,March,2015.0,z,email,True,2012,False,11.0
8538,0,ADULT,10,1,45 to 54 years,M2,Marina,September,2013.0,z,email,True,2009,False,2.0
8541,0,ADULT,5,1,20 to 24 years,X,Main Library,July,2013.0,p,phone,False,2010,False,11.0
8542,0,ADULT,147,5,35 to 44 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016.0,z,email,True,2011,False,9.0
8543,0,ADULT,0,0,25 to 34 years,M6,Mission,July,2015.0,a,print,False,2015,False,8.0
8546,0,ADULT,4,0,45 to 54 years,P3,Parkside,April,2016.0,a,print,False,2016,False,5.0
8547,0,ADULT,4,2,35 to 44 years,X,Main Library,April,2015.0,z,email,True,2010,False,11.0
8550,0,ADULT,33,21,35 to 44 years,M8,Mission Bay,November,2015.0,z,email,True,2011,False,6.0
8552,0,ADULT,2,0,25 to 34 years,M8,Mission Bay,March,2015.0,z,email,True,2015,False,6.0
8553,0,ADULT,5,0,25 to 34 years,S7,Sunset,October,2014.0,z,email,True,2014,False,5.0
8554,3,SENIOR,128,17,65 to 74 years,X,Main Library,September,2015.0,z,email,True,2003,False,6.0
8556,0,ADULT,117,12,45 to 54 years,X,Main Library,June,2016.0,z,email,True,2003,False,5.0
8559,0,ADULT,2098,31,45 to 54 years,M6,Mission,July,2016.0,p,phone,False,2003,False,8.0
8560,0,ADULT,39,18,25 to 34 years,X,Main Library,October,2015.0,p,phone,False,2010,False,4.0
8561,0,ADULT,246,161,35 to 44 years,E9,Excelsior,July,2016.0,z,email,True,2003,False,11.0
8562,0,ADULT,191,1,55 to 59 years,X,Main Library,April,2014.0,p,phone,False,2013,False,10.0
8563,0,ADULT,1803,333,45 to 54 years,E9,Excelsior,July,2016.0,z,email,True,2003,False,11.0
8566,3,SENIOR,475,20,65 to 74 years,C2,Chinatown,June,2016.0,p,phone,False,2008,False,1.0
8567,0,ADULT,24,17,35 to 44 years,W2,West Portal,May,2015.0,z,email,True,2012,False,7.0
8568,0,ADULT,0,0,55 to 59 years,G4,Glen Park,February,2015.0,z,email,True,2013,False,7.0
8569,0,ADULT,42,89,55 to 59 years,X,Main Library,June,2014.0,z,email,True,2003,False,9.0
8570,4,WELCOME,1,4,25 to 34 years,X,Main Library,February,2014.0,z,email,True,2013,False,3.0
8571,0,ADULT,120,0,35 to 44 years,P1,Park,April,2016.0,z,email,True,2014,False,6.0
8572,0,ADULT,108,183,35 to 44 years,X,Main Library,July,2016.0,z,email,True,2008,False,6.0
8574,0,ADULT,1,1,20 to 24 years,X,Main Library,October,2015.0,z,email,True,2015,False,4.0
8575,0,ADULT,4,0,20 to 24 years,E9,Excelsior,February,2013.0,z,email,True,2012,False,11.0
8579,0,ADULT,17,4,45 to 54 years,R3,Richmond,July,2013.0,p,phone,False,2009,False,4.0
8580,0,ADULT,3,0,25 to 34 years,R3,Richmond,December,2014.0,z,email,True,2014,False,1.0
8581,3,SENIOR,34,0,65 to 74 years,C2,Chinatown,July,2012.0,a,print,False,2003,False,3.0
8583,0,ADULT,5,10,25 to 34 years,X,Main Library,January,2014.0,a,print,False,2013,False,5.0
8584,0,ADULT,3,10,25 to 34 years,X,Main Library,June,2013.0,z,email,True,2013,False,8.0
8586,0,ADULT,23,1,25 to 34 years,I5,Ingleside,July,2016.0,p,phone,False,2015,False,11.0
8589,0,ADULT,12,1,45 to 54 years,M6,Mission,July,2016.0,z,email,True,2014,False,5.0
8592,0,ADULT,42,41,45 to 54 years,X,Main Library,March,2014.0,z,email,True,2008,False,9.0
8593,0,ADULT,83,3,55 to 59 years,M8,Mission Bay,March,2016.0,a,print,False,2007,False,6.0
8594,0,ADULT,131,20,35 to 44 years,S7,Sunset,January,2015.0,z,email,True,2012,False,11.0
8599,0,ADULT,243,133,35 to 44 years,S7,Sunset,April,2016.0,z,email,True,2003,False,7.0
8600,0,ADULT,3,0,45 to 54 years,B2,Bayview/Linda Brooks-Burton,May,2016.0,z,email,True,2010,False,10.0
8601,0,ADULT,2,0,25 to 34 years,S7,Sunset,February,2015.0,z,email,True,2011,False,1.0
8602,0,ADULT,1,3,25 to 34 years,X,Main Library,September,2014.0,z,email,True,2014,False,5.0
8603,3,SENIOR,151,7,65 to 74 years,G6,Golden Gate Valley,March,2015.0,z,email,True,2007,False,2.0
8604,0,ADULT,104,25,25 to 34 years,X,Main Library,July,2016.0,z,email,True,2007,False,5.0
8607,0,ADULT,14,2,25 to 34 years,X,Main Library,January,2016.0,z,email,True,2015,False,5.0
8608,0,ADULT,191,4,35 to 44 years,W4,Western Addition,July,2016.0,z,email,True,2003,False,2.0
8609,0,ADULT,50,4,35 to 44 years,M6,Mission,June,2016.0,z,email,True,2009,False,8.0
8610,0,ADULT,40,24,25 to 34 years,R3,Richmond,November,2005.0,z,email,True,2003,False,1.0
8613,0,ADULT,665,125,55 to 59 years,X,Main Library,January,2014.0,z,email,True,2003,False,6.0
8614,0,ADULT,240,142,25 to 34 years,X,Main Library,January,2015.0,z,email,True,2009,False,7.0
8615,0,ADULT,149,65,45 to 54 years,R3,Richmond,August,2014.0,z,email,True,2005,False,1.0
8616,3,SENIOR,1131,1088,65 to 74 years,S7,Sunset,July,2016.0,z,email,True,2003,False,4.0
8617,0,ADULT,16,5,25 to 34 years,M6,Mission,June,2015.0,z,email,True,2008,False,8.0
8620,3,SENIOR,31,18,65 to 74 years,P1,Park,January,2011.0,z,email,True,2004,False,5.0
8634,0,ADULT,74,16,25 to 34 years,X,Main Library,May,2016.0,z,email,True,2008,False,2.0
8637,0,ADULT,8,23,25 to 34 years,P1,Park,January,2016.0,z,email,True,2012,False,5.0
8638,0,ADULT,25,7,55 to 59 years,C2,Chinatown,August,2013.0,a,print,False,2012,False,9.0
8639,0,ADULT,26,59,35 to 44 years,M6,Mission,July,2015.0,p,phone,False,2013,False,9.0
8640,0,ADULT,24,6,60 to 64 years,N6,North Beach,June,2015.0,z,email,True,2003,False,9.0
8641,0,ADULT,59,10,45 to 54 years,R3,Richmond,August,2013.0,z,email,True,2003,False,1.0
8642,0,ADULT,99,2,55 to 59 years,X,Main Library,July,2016.0,z,email,True,2012,False,3.0
8643,0,ADULT,139,166,45 to 54 years,E9,Excelsior,July,2016.0,z,email,True,2003,False,11.0
8644,3,SENIOR,87,67,65 to 74 years,M8,Mission Bay,September,2015.0,z,email,True,2007,False,6.0
8647,0,ADULT,18,16,45 to 54 years,X,Main Library,September,2014.0,z,email,True,2011,False,6.0
8650,0,ADULT,181,1,45 to 54 years,O2,Ocean View,July,2016.0,z,email,True,2012,False,11.0
8652,3,SENIOR,45,27,65 to 74 years,X,Main Library,December,2013.0,a,print,False,2003,False,7.0
8654,0,ADULT,57,6,20 to 24 years,P7,Potrero,February,2014.0,z,email,True,2011,False,10.0
8656,0,ADULT,12,0,55 to 59 years,N4,Noe Valley/Sally Brunn,July,2016.0,z,email,True,2015,False,8.0
8658,0,ADULT,57,6,45 to 54 years,E9,Excelsior,March,2014.0,z,email,True,2007,False,11.0
8659,0,ADULT,7,8,25 to 34 years,W2,West Portal,November,2014.0,z,email,True,2013,False,7.0
8660,0,ADULT,96,33,25 to 34 years,N6,North Beach,February,2016.0,z,email,True,2012,False,3.0
8661,0,ADULT,43,25,35 to 44 years,P9,Presidio,October,2014.0,z,email,True,2010,False,2.0
8662,3,SENIOR,81,240,65 to 74 years,N6,North Beach,April,2015.0,p,phone,False,2003,False,3.0
8664,100,AT USER ADULT,81,12,25 to 34 years,M6,Mission,April,2015.0,p,phone,False,2003,False,11.0
8666,0,ADULT,603,63,55 to 59 years,W2,West Portal,July,2016.0,z,email,True,2003,False,7.0
8668,0,ADULT,483,72,45 to 54 years,N4,Noe Valley/Sally Brunn,March,2015.0,z,email,True,2003,False,8.0
8671,0,ADULT,54,4,25 to 34 years,I5,Ingleside,April,2015.0,z,email,True,2003,False,7.0
8672,0,ADULT,19,18,25 to 34 years,P7,Potrero,October,2014.0,z,email,True,2013,False,10.0
8673,0,ADULT,53,60,35 to 44 years,B4,Bernal Heights,March,2016.0,z,email,True,2011,False,7.0
8678,0,ADULT,6,15,20 to 24 years,P9,Presidio,February,2016.0,z,email,True,2015,False,1.0
8679,0,ADULT,333,373,35 to 44 years,X,Main Library,September,2015.0,z,email,True,2003,False,1.0
8680,0,ADULT,106,116,25 to 34 years,R3,Richmond,July,2016.0,z,email,True,2014,False,1.0
8681,0,ADULT,3,0,60 to 64 years,E9,Excelsior,April,2013.0,a,print,False,2006,False,11.0
8682,0,ADULT,1,0,25 to 34 years,V3,Visitacion Valley,May,2016.0,z,email,True,2016,False,10.0
8684,0,ADULT,899,375,20 to 24 years,W2,West Portal,January,2016.0,a,print,True,2008,False,4.0
8685,0,ADULT,28,1,25 to 34 years,X,Main Library,December,2013.0,z,email,True,2010,False,8.0
8686,0,ADULT,1,0,25 to 34 years,O7,Ortega,August,2014.0,z,email,True,2014,False,4.0
8687,0,ADULT,3,0,35 to 44 years,B4,Bernal Heights,November,2014.0,z,email,True,2014,False,9.0
8689,0,ADULT,1,0,25 to 34 years,X,Main Library,April,2014.0,a,print,False,2014,False,5.0
8690,0,ADULT,21,11,25 to 34 years,M4,Merced,September,2015.0,z,email,True,2015,False,7.0
8692,0,ADULT,59,6,35 to 44 years,S7,Sunset,June,2015.0,z,email,True,2010,False,4.0
8693,0,ADULT,51,17,45 to 54 years,X,Main Library,July,2016.0,z,email,True,2008,False,10.0
8694,0,ADULT,389,55,20 to 24 years,A5,Anza,July,2016.0,a,print,True,2003,False,10.0
8695,0,ADULT,12,26,25 to 34 years,M2,Marina,February,2015.0,z,email,True,2013,False,2.0
8696,0,ADULT,25,16,25 to 34 years,P3,Parkside,June,2013.0,z,email,True,2003,False,4.0
8697,0,ADULT,1,0,55 to 59 years,R3,Richmond,July,2016.0,z,email,True,2010,False,3.0
8698,0,ADULT,20,5,20 to 24 years,M6,Mission,July,2015.0,z,email,True,2014,False,8.0
8699,100,AT USER ADULT,5,5,35 to 44 years,E7,Eureka Valley/Harvey Milk Memorial,July,2015.0,z,email,True,2014,False,8.0
8700,0,ADULT,375,58,45 to 54 years,N4,Noe Valley/Sally Brunn,March,2016.0,z,email,True,2009,False,8.0
8701,0,ADULT,48,0,35 to 44 years,X,Main Library,August,2015.0,z,email,True,2015,False,1.0
8702,0,ADULT,17,28,45 to 54 years,X,Main Library,June,2016.0,z,email,True,2008,False,5.0
8703,0,ADULT,8,0,45 to 54 years,E9,Excelsior,December,2013.0,a,print,False,2010,False,7.0
8704,0,ADULT,10,0,45 to 54 years,X,Main Library,June,2015.0,z,email,True,2015,False,6.0
8706,0,ADULT,3,0,25 to 34 years,X,Main Library,August,2013.0,z,email,True,2011,False,1.0
8708,0,ADULT,425,83,20 to 24 years,C2,Chinatown,April,2016.0,z,email,True,2007,False,3.0
8710,0,ADULT,16,1,45 to 54 years,X,Main Library,September,2015.0,p,phone,False,2003,False,5.0
8712,0,ADULT,28,0,45 to 54 years,P1,Park,June,2013.0,z,email,True,2013,False,5.0
8716,3,SENIOR,8,4,65 to 74 years,X,Main Library,October,2009.0,z,email,True,2003,False,6.0
8717,0,ADULT,58,91,35 to 44 years,X,Main Library,December,2015.0,z,email,True,2014,False,11.0
8718,0,ADULT,22,58,25 to 34 years,X,Main Library,June,2016.0,z,email,True,2014,False,9.0
8720,0,ADULT,235,3,45 to 54 years,X,Main Library,October,2015.0,z,email,True,2014,False,6.0
8721,0,ADULT,305,101,35 to 44 years,A5,Anza,June,2014.0,z,email,True,2005,False,5.0
8724,0,ADULT,6,17,35 to 44 years,M6,Mission,April,2014.0,z,email,True,2009,False,7.0
8726,0,ADULT,3,0,35 to 44 years,A5,Anza,August,2015.0,z,email,True,2014,False,1.0
8728,0,ADULT,2,1,20 to 24 years,P1,Park,July,2016.0,z,email,True,2016,False,5.0
8729,3,SENIOR,30,9,65 to 74 years,N4,Noe Valley/Sally Brunn,October,2015.0,z,email,True,2008,False,8.0
8730,3,SENIOR,2325,748,65 to 74 years,N6,North Beach,July,2016.0,z,email,True,2011,False,3.0
8733,0,ADULT,22,0,20 to 24 years,X,Main Library,July,2016.0,z,email,True,2014,False,3.0
8736,0,ADULT,29,13,20 to 24 years,C2,Chinatown,July,2016.0,p,phone,False,2003,False,3.0
8738,0,ADULT,158,82,45 to 54 years,X,Main Library,July,2013.0,z,email,True,2008,False,10.0
8739,0,ADULT,204,211,35 to 44 years,M2,Marina,July,2016.0,z,email,True,2008,False,2.0
8741,0,ADULT,30,3,45 to 54 years,X,Main Library,June,2015.0,a,print,True,2011,False,6.0
8742,0,ADULT,1,0,20 to 24 years,X,Main Library,September,2015.0,z,email,True,2015,False,6.0
8743,0,ADULT,30,8,45 to 54 years,X,Main Library,April,2016.0,z,email,True,2003,False,1.0
8745,3,SENIOR,574,55,65 to 74 years,A5,Anza,June,2016.0,z,email,True,2008,False,1.0
8747,0,ADULT,1,3,20 to 24 years,I5,Ingleside,April,2013.0,z,email,True,2013,False,11.0
8748,0,ADULT,7,24,25 to 34 years,W2,West Portal,March,2015.0,z,email,True,2009,False,11.0
8749,3,SENIOR,162,21,65 to 74 years,N6,North Beach,July,2015.0,z,email,True,2003,False,3.0
8750,0,ADULT,1,0,45 to 54 years,X,Main Library,December,2014.0,z,email,True,2014,False,11.0
8751,0,ADULT,19,2,25 to 34 years,M8,Mission Bay,July,2016.0,z,email,True,2013,False,6.0
8753,0,ADULT,3,0,35 to 44 years,E7,Eureka Valley/Harvey Milk Memorial,August,2012.0,z,email,True,2012,False,8.0
8755,0,ADULT,49,10,60 to 64 years,G4,Glen Park,July,2016.0,z,email,True,2009,False,8.0
8757,0,ADULT,24,29,25 to 34 years,X,Main Library,December,2014.0,z,email,True,2006,False,7.0
8759,0,ADULT,503,668,35 to 44 years,P7,Potrero,July,2016.0,z,email,True,2010,False,10.0
8760,0,ADULT,6,1,25 to 34 years,M8,Mission Bay,August,2014.0,z,email,True,2013,False,6.0
8761,3,SENIOR,468,169,65 to 74 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016.0,z,email,True,2010,False,10.0
8762,0,ADULT,10,5,55 to 59 years,R3,Richmond,February,2016.0,z,email,True,2015,False,1.0
8763,4,WELCOME,1,1,35 to 44 years,V3,Visitacion Valley,December,2014.0,p,phone,True,2014,False,10.0
8765,0,ADULT,4,0,25 to 34 years,I5,Ingleside,November,2013.0,z,email,True,2013,False,4.0
8766,0,ADULT,109,18,55 to 59 years,X,Main Library,November,2006.0,z,email,True,2003,False,1.0
8768,0,ADULT,84,85,25 to 34 years,R3,Richmond,October,2014.0,z,email,True,2003,False,4.0
8773,0,ADULT,6,4,20 to 24 years,M6,Mission,September,2015.0,z,email,True,2014,False,9.0
8774,0,ADULT,2,0,25 to 34 years,G6,Golden Gate Valley,December,2015.0,z,email,True,2015,False,2.0
8776,0,ADULT,1,0,20 to 24 years,X,Main Library,April,2016.0,z,email,True,2016,False,6.0
8777,0,ADULT,17,13,55 to 59 years,M6,Mission,April,2015.0,z,email,True,2014,False,9.0
8778,0,ADULT,6,4,20 to 24 years,O7,Ortega,July,2014.0,z,email,True,2013,False,4.0
8780,0,ADULT,948,457,45 to 54 years,X,Main Library,January,2016.0,p,phone,False,2009,False,6.0
8781,0,ADULT,3485,1725,35 to 44 years,E9,Excelsior,July,2016.0,z,email,True,2006,False,11.0
8783,0,ADULT,901,1031,55 to 59 years,P1,Park,July,2016.0,z,email,True,2003,False,5.0
8784,4,WELCOME,0,0,45 to 54 years,X,Main Library,October,2015.0,z,email,True,2015,False,9.0
8785,0,ADULT,158,54,20 to 24 years,N4,Noe Valley/Sally Brunn,July,2013.0,z,email,True,2003,False,8.0
8786,0,ADULT,5,4,25 to 34 years,X,Main Library,May,2013.0,z,email,True,2012,False,6.0
8787,0,ADULT,19,0,35 to 44 years,P1,Park,March,2012.0,z,email,True,2003,False,2.0
8789,0,ADULT,25,0,25 to 34 years,M2,Marina,November,2013.0,z,email,True,2011,False,2.0
8790,0,ADULT,31,1,35 to 44 years,X,Main Library,July,2014.0,p,phone,False,2013,False,11.0
8791,4,WELCOME,1,0,35 to 44 years,X,Main Library,August,2014.0,a,print,False,2014,False,6.0
8793,0,ADULT,38,0,35 to 44 years,A5,Anza,September,2013.0,z,email,True,2009,False,1.0
8797,0,ADULT,4,5,55 to 59 years,X,Main Library,January,2015.0,z,email,True,2008,False,7.0
8798,3,SENIOR,469,57,65 to 74 years,O7,Ortega,June,2016.0,p,phone,False,2003,False,4.0
8799,0,ADULT,2,0,20 to 24 years,X,Main Library,December,2012.0,z,email,True,2012,False,1.0
8804,0,ADULT,5,0,35 to 44 years,X,Main Library,October,2015.0,z,email,True,2015,False,7.0
8806,0,ADULT,343,152,25 to 34 years,E9,Excelsior,May,2016.0,z,email,True,2003,False,11.0
8807,0,ADULT,26,0,55 to 59 years,E9,Excelsior,March,2015.0,p,phone,False,2007,False,11.0
8808,0,ADULT,20,0,20 to 24 years,M6,Mission,July,2016.0,z,email,True,2015,False,8.0
8809,0,ADULT,41,2,35 to 44 years,B4,Bernal Heights,July,2016.0,z,email,True,2015,False,9.0
8814,0,ADULT,8,0,25 to 34 years,N4,Noe Valley/Sally Brunn,September,2014.0,z,email,True,2013,False,8.0
8816,3,SENIOR,305,143,65 to 74 years,M4,Merced,February,2016.0,z,email,True,2005,False,7.0
8818,0,ADULT,6,3,25 to 34 years,C2,Chinatown,August,2014.0,z,email,True,2010,False,3.0
8819,0,ADULT,243,0,45 to 54 years,G4,Glen Park,June,2016.0,z,email,True,2006,False,8.0
8821,0,ADULT,13,7,35 to 44 years,S7,Sunset,January,2015.0,z,email,True,2005,False,4.0
8822,0,ADULT,3,2,25 to 34 years,P5,Portola,September,2015.0,z,email,True,2015,False,9.0
8824,0,ADULT,195,165,45 to 54 years,X,Main Library,September,2015.0,z,email,True,2012,False,8.0
8825,0,ADULT,0,0,25 to 34 years,X,Main Library,March,2015.0,a,print,False,2015,False,6.0
8826,0,ADULT,5,3,25 to 34 years,E9,Excelsior,January,2009.0,z,email,True,2008,False,11.0
8828,0,ADULT,17,0,25 to 34 years,X,Main Library,April,2015.0,z,email,True,2012,False,1.0
8829,0,ADULT,10,0,20 to 24 years,X,Main Library,January,2013.0,z,email,True,2013,False,5.0
8830,0,ADULT,24,1,25 to 34 years,X,Main Library,July,2014.0,z,email,True,2013,False,4.0
8831,3,SENIOR,38,9,65 to 74 years,P5,Portola,November,2013.0,z,email,True,2007,False,10.0
8832,0,ADULT,1,0,25 to 34 years,X,Main Library,March,2016.0,z,email,True,2012,False,8.0
8833,0,ADULT,3,0,25 to 34 years,P1,Park,June,2015.0,z,email,True,2015,False,5.0
8835,4,WELCOME,2,0,55 to 59 years,X,Main Library,June,2016.0,p,phone,False,2016,False,6.0
8836,0,ADULT,23,0,35 to 44 years,X,Main Library,March,2016.0,z,email,True,2003,False,8.0
8838,0,ADULT,17,2,25 to 34 years,O7,Ortega,September,2010.0,z,email,True,2009,False,4.0
8841,3,SENIOR,75,53,65 to 74 years,X,Main Library,July,2014.0,z,email,True,2003,False,6.0
8842,4,WELCOME,4,0,25 to 34 years,S7,Sunset,November,2013.0,z,email,True,2013,False,4.0
8845,0,ADULT,13,0,55 to 59 years,B2,Bayview/Linda Brooks-Burton,March,2015.0,a,print,False,2015,False,10.0
8846,0,ADULT,21,9,20 to 24 years,M8,Mission Bay,March,2015.0,z,email,True,2011,False,6.0
8847,0,ADULT,5,0,25 to 34 years,S7,Sunset,July,2015.0,z,email,True,2012,False,4.0
8848,0,ADULT,12,0,20 to 24 years,E9,Excelsior,June,2014.0,z,email,True,2011,False,11.0
8849,0,ADULT,89,22,45 to 54 years,I5,Ingleside,July,2016.0,p,phone,True,2003,False,7.0
8852,0,ADULT,10,0,35 to 44 years,X,Main Library,September,2015.0,z,email,True,2012,False,5.0
8854,4,WELCOME,1,1,25 to 34 years,X,Main Library,October,2013.0,z,email,True,2013,False,9.0
8855,16,DIGITAL ACCESS CARD,1,0,25 to 34 years,B2,Bayview/Linda Brooks-Burton,December,2010.0,z,email,True,2010,False,10.0
8856,0,ADULT,11,2,20 to 24 years,E9,Excelsior,December,2012.0,p,phone,True,2003,False,11.0
8857,0,ADULT,5,0,20 to 24 years,W2,West Portal,October,2015.0,a,print,False,2012,False,7.0
8858,0,ADULT,4,0,35 to 44 years,N6,North Beach,March,2013.0,z,email,True,2003,False,3.0
8860,0,ADULT,1,0,35 to 44 years,I5,Ingleside,November,2012.0,z,email,True,2012,False,9.0
8861,0,ADULT,2,6,25 to 34 years,M2,Marina,May,2014.0,z,email,True,2014,False,2.0
8862,0,ADULT,134,3,35 to 44 years,E9,Excelsior,March,2015.0,p,phone,False,2010,False,11.0
8865,0,ADULT,22,24,35 to 44 years,X,Main Library,June,2016.0,z,email,True,2015,False,8.0
8866,0,ADULT,1,3,25 to 34 years,X,Main Library,July,2016.0,z,email,True,2016,False,8.0
8867,3,SENIOR,785,74,65 to 74 years,M4,Merced,October,2014.0,z,email,True,2003,False,11.0
8868,0,ADULT,37,6,45 to 54 years,X,Main Library,February,2016.0,z,email,True,2006,False,1.0
8870,0,ADULT,2,0,25 to 34 years,R3,Richmond,August,2013.0,z,email,True,2013,False,1.0
8871,0,ADULT,64,0,25 to 34 years,N4,Noe Valley/Sally Brunn,April,2015.0,a,print,True,2011,False,6.0
8872,0,ADULT,87,15,35 to 44 years,C2,Chinatown,April,2016.0,z,email,True,2003,False,11.0
8873,3,SENIOR,2,0,65 to 74 years,W4,Western Addition,January,2016.0,z,email,True,2016,False,2.0
8875,0,ADULT,1,1,35 to 44 years,X,Main Library,June,2016.0,z,email,True,2014,False,6.0
8876,0,ADULT,105,30,60 to 64 years,I5,Ingleside,March,2015.0,z,email,True,2008,False,7.0
8878,0,ADULT,71,38,25 to 34 years,X,Main Library,April,2016.0,z,email,True,2011,False,1.0
8880,0,ADULT,32,53,35 to 44 years,C2,Chinatown,June,2016.0,z,email,True,2015,False,3.0
8886,0,ADULT,4,2,25 to 34 years,M4,Merced,November,2015.0,z,email,True,2014,False,7.0
8887,0,ADULT,5271,829,45 to 54 years,X,Main Library,February,2015.0,z,email,True,2007,False,3.0
8890,0,ADULT,18,3,20 to 24 years,B4,Bernal Heights,November,2014.0,z,email,True,2003,False,9.0
8892,0,ADULT,66,1,60 to 64 years,X,Main Library,July,2016.0,z,email,True,2003,False,5.0
8893,0,ADULT,298,13,35 to 44 years,M2,Marina,July,2016.0,z,email,True,2012,False,2.0
8895,0,ADULT,194,35,60 to 64 years,E7,Eureka Valley/Harvey Milk Memorial,January,2015.0,z,email,True,2009,False,8.0
8896,0,ADULT,761,892,45 to 54 years,N4,Noe Valley/Sally Brunn,July,2016.0,z,email,True,2008,False,8.0
8897,0,ADULT,24,3,20 to 24 years,W4,Western Addition,April,2016.0,z,email,True,2012,False,5.0
8899,0,ADULT,2,0,25 to 34 years,B4,Bernal Heights,February,2014.0,z,email,True,2014,False,10.0
8900,0,ADULT,754,364,25 to 34 years,P5,Portola,July,2014.0,z,email,True,2003,False,10.0
8901,0,ADULT,19,2,45 to 54 years,W2,West Portal,May,2015.0,z,email,True,2008,False,7.0
8904,0,ADULT,92,78,25 to 34 years,P7,Potrero,October,2015.0,z,email,True,2010,False,9.0
8905,0,ADULT,214,317,35 to 44 years,W2,West Portal,October,2013.0,z,email,True,2003,False,5.0
8907,3,SENIOR,1513,525,65 to 74 years,S7,Sunset,July,2016.0,z,email,True,2003,False,5.0
8909,0,ADULT,87,0,35 to 44 years,A5,Anza,July,2016.0,z,email,True,2014,False,1.0
8910,0,ADULT,180,3,25 to 34 years,R3,Richmond,June,2016.0,z,email,True,2006,False,11.0
8911,0,ADULT,115,20,25 to 34 years,S7,Sunset,July,2016.0,p,phone,True,2012,False,4.0
8912,0,ADULT,1094,157,35 to 44 years,O7,Ortega,July,2016.0,z,email,True,2014,False,4.0
8913,0,ADULT,3202,1754,60 to 64 years,X,Main Library,July,2016.0,z,email,True,2005,False,6.0
8915,0,ADULT,5,0,45 to 54 years,M4,Merced,December,2015.0,z,email,True,2015,False,4.0
8916,0,ADULT,13,25,55 to 59 years,M4,Merced,June,2016.0,a,print,False,2012,False,11.0
8919,0,ADULT,19,5,35 to 44 years,S7,Sunset,July,2016.0,z,email,True,2016,False,4.0
8921,0,ADULT,3,1,25 to 34 years,X,Main Library,April,2015.0,z,email,True,2013,False,10.0
8922,3,SENIOR,56,99,65 to 74 years,B2,Bayview/Linda Brooks-Burton,November,2015.0,z,email,True,2010,False,10.0
8923,0,ADULT,8,4,25 to 34 years,M6,Mission,July,2016.0,z,email,True,2013,False,8.0
8924,0,ADULT,1,0,25 to 34 years,P9,Presidio,May,2014.0,z,email,True,2013,False,2.0
8928,0,ADULT,8,12,25 to 34 years,I5,Ingleside,July,2014.0,z,email,True,2013,False,7.0
8929,0,ADULT,4,0,35 to 44 years,M8,Mission Bay,March,2016.0,z,email,True,2014,False,6.0
8930,0,ADULT,64,12,35 to 44 years,B4,Bernal Heights,October,2014.0,z,email,True,2011,False,4.0
8931,0,ADULT,140,3,35 to 44 years,W2,West Portal,March,2014.0,z,email,True,2003,False,7.0
8932,0,ADULT,77,68,20 to 24 years,B2,Bayview/Linda Brooks-Burton,July,2016.0,z,email,True,2009,False,10.0
